"mz","intensity","filename"
50,227,"Baja unknown 1"
51,217,"Baja unknown 1"
54,168,"Baja unknown 1"
58,55,"Baja unknown 1"
61,163,"Baja unknown 1"
62,222,"Baja unknown 1"
63,241,"Baja unknown 1"
64,30,"Baja unknown 1"
72,66,"Baja unknown 1"
73,234,"Baja unknown 1"
74,163,"Baja unknown 1"
75,206,"Baja unknown 1"
77,237,"Baja unknown 1"
79,822,"Baja unknown 1"
81,582,"Baja unknown 1"
82,299,"Baja unknown 1"
84,164,"Baja unknown 1"
85,144,"Baja unknown 1"
86,160,"Baja unknown 1"
87,124,"Baja unknown 1"
88,19,"Baja unknown 1"
89,49,"Baja unknown 1"
97,220,"Baja unknown 1"
99,440,"Baja unknown 1"
100,123,"Baja unknown 1"
101,30,"Baja unknown 1"
106,78,"Baja unknown 1"
108,137,"Baja unknown 1"
109,505,"Baja unknown 1"
110,47,"Baja unknown 1"
113,140,"Baja unknown 1"
114,28,"Baja unknown 1"
123,174,"Baja unknown 1"
124,43,"Baja unknown 1"
125,84,"Baja unknown 1"
126,30,"Baja unknown 1"
134,56,"Baja unknown 1"
135,65,"Baja unknown 1"
136,44,"Baja unknown 1"
137,209,"Baja unknown 1"
138,83,"Baja unknown 1"
148,77,"Baja unknown 1"
149,110,"Baja unknown 1"
150,23,"Baja unknown 1"
153,42,"Baja unknown 1"
154,41,"Baja unknown 1"
158,14,"Baja unknown 1"
159,998,"Baja unknown 1"
160,97,"Baja unknown 1"
161,684,"Baja unknown 1"
162,85,"Baja unknown 1"
163,116,"Baja unknown 1"
164,13,"Baja unknown 1"
170,64,"Baja unknown 1"
181,15,"Baja unknown 1"
182,12,"Baja unknown 1"
183,212,"Baja unknown 1"
184,67,"Baja unknown 1"
185,104,"Baja unknown 1"
186,22,"Baja unknown 1"
189,13,"Baja unknown 1"
192,14,"Baja unknown 1"
193,735,"Baja unknown 1"
194,259,"Baja unknown 1"
195,736,"Baja unknown 1"
196,202,"Baja unknown 1"
197,201,"Baja unknown 1"
198,47,"Baja unknown 1"
199,69,"Baja unknown 1"
202,10,"Baja unknown 1"
203,28,"Baja unknown 1"
204,20,"Baja unknown 1"
205,7,"Baja unknown 1"
206,29,"Baja unknown 1"
207,27,"Baja unknown 1"
208,23,"Baja unknown 1"
209,17,"Baja unknown 1"
210,36,"Baja unknown 1"
212,7,"Baja unknown 1"
214,4,"Baja unknown 1"
217,78,"Baja unknown 1"
218,64,"Baja unknown 1"
219,171,"Baja unknown 1"
220,61,"Baja unknown 1"
221,100,"Baja unknown 1"
222,46,"Baja unknown 1"
223,73,"Baja unknown 1"
224,27,"Baja unknown 1"
225,8,"Baja unknown 1"
226,5,"Baja unknown 1"
227,21,"Baja unknown 1"
229,30,"Baja unknown 1"
230,24,"Baja unknown 1"
231,20,"Baja unknown 1"
232,6,"Baja unknown 1"
233,20,"Baja unknown 1"
234,7,"Baja unknown 1"
235,13,"Baja unknown 1"
236,17,"Baja unknown 1"
237,4,"Baja unknown 1"
238,23,"Baja unknown 1"
240,4,"Baja unknown 1"
247,9,"Baja unknown 1"
248,1,"Baja unknown 1"
253,66,"Baja unknown 1"
254,17,"Baja unknown 1"
255,81,"Baja unknown 1"
256,37,"Baja unknown 1"
257,40,"Baja unknown 1"
259,11,"Baja unknown 1"
260,15,"Baja unknown 1"
261,10,"Baja unknown 1"
267,9,"Baja unknown 1"
269,7,"Baja unknown 1"
273,4,"Baja unknown 1"
275,3,"Baja unknown 1"
277,2,"Baja unknown 1"
281,3,"Baja unknown 1"
283,6,"Baja unknown 1"
285,3,"Baja unknown 1"
288,4,"Baja unknown 1"
289,40,"Baja unknown 1"
290,16,"Baja unknown 1"
291,50,"Baja unknown 1"
292,14,"Baja unknown 1"
293,35,"Baja unknown 1"
294,7,"Baja unknown 1"
295,12,"Baja unknown 1"
296,2,"Baja unknown 1"
297,3,"Baja unknown 1"
303,3,"Baja unknown 1"
304,2,"Baja unknown 1"
305,3,"Baja unknown 1"
307,1,"Baja unknown 1"
308,3,"Baja unknown 1"
309,1,"Baja unknown 1"
310,2,"Baja unknown 1"
311,2,"Baja unknown 1"
312,1,"Baja unknown 1"
313,1,"Baja unknown 1"
315,1,"Baja unknown 1"
317,8,"Baja unknown 1"
319,9,"Baja unknown 1"
